gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000026103,14253.0782,-0.035813265,0.06241337,-0.573807582,0.566098017,0.726178048
ENSMUSG00000002881,1917.092786,-0.224445802,0.126009436,-1.781182497,0.074882642,0.175543272
ENSMUSG00000097833,0.089473117,-0.820035408,3.777781541,-0.21706798,0.828155367,NA
ENSMUSG00000101501,2.050070528,-0.236137511,0.695209948,-0.339663596,0.73410988,0.844279328
ENSMUSG00000043015,372.1600809,0.635646752,0.095573152,6.650892437,2.91E-11,9.35E-10
ENSMUSG00000099878,1.022233689,1.161284176,1.217013538,0.9542081,0.339978315,0.524477807
ENSMUSG00000041439,2875.425324,-0.112607291,0.06120027,-1.839980282,0.065771132,0.159040026
ENSMUSG00000026102,3517.045723,-0.039174669,0.048105694,-0.814345786,0.415446887,0.599368555
ENSMUSG00000041426,892.250205,-0.327982125,0.051104628,-6.417855709,1.38E-10,3.88E-09
ENSMUSG00000043629,644.2034401,-0.014505764,0.058276133,-0.248914312,0.803427065,0.887997381
ENSMUSG00000026100,21.69121618,-0.244703835,0.237538739,-1.030163903,0.302933072,0.484814574
ENSMUSG00000060715,55.02107905,-0.36796624,0.139094825,-2.645434436,0.00815861,0.029493855
ENSMUSG00000026098,449.6373223,0.495651639,0.068186929,7.269012523,3.62E-13,1.66E-11
ENSMUSG00000100763,1.112806838,-0.602352175,0.916294671,-0.657378236,0.510937742,0.680813721
ENSMUSG00000026097,767.5439899,0.127896306,0.055898777,2.287998274,0.022137622,0.066923749
ENSMUSG00000026096,716.4187278,0.117248796,0.058189621,2.014943438,0.043910576,0.115896001
ENSMUSG00000026095,753.066003,0.076129578,0.050736188,1.500498583,0.1334853,0.271720886
ENSMUSG00000096141,15.78651548,-0.080439547,0.289884416,-0.277488345,0.781405154,0.874731833
ENSMUSG00000026094,4341.039155,-0.511035144,0.058406131,-8.749683172,2.14E-18,2.23E-16
ENSMUSG00000042807,2649.253728,0.186659355,0.078948635,2.364313894,0.0180635,0.056754047
ENSMUSG00000025983,16.35839627,0.949850345,0.258564879,3.673547419,0.000239206,0.001452736
ENSMUSG00000041303,1140.644193,0.081067722,0.067412449,1.202563089,0.229145438,0.401118547
ENSMUSG00000109809,2.819864963,1.89396673,0.702441178,2.696263814,0.007012211,0.025913749
ENSMUSG00000073678,2080.128432,-0.092525866,0.102332447,-0.904169393,0.365905587,0.550689406
ENSMUSG00000052331,732.2477323,-0.089546161,0.075241942,-1.190109639,0.234003302,0.407236259
ENSMUSG00000101674,0.103827784,0.828726337,3.777781541,0.219368518,0.826362992,NA
ENSMUSG00000025982,17770.73322,0.142302002,0.088576557,1.606542477,0.10815477,0.232614963
ENSMUSG00000025981,1255.239567,-0.582418741,0.092869404,-6.271373714,3.58E-10,9.16E-09
ENSMUSG00000101122,34.12278858,-0.382321003,0.181654223,-2.104663445,0.035320615,0.097316881
ENSMUSG00000025980,7065.611555,-0.322533802,0.045696337,-7.058198152,1.69E-12,6.88E-11
ENSMUSG00000073676,1478.514165,-0.338856633,0.062950922,-5.382870059,7.33E-08,1.15E-06
ENSMUSG00000100736,0.671344134,0.054760406,1.161136075,0.047161058,0.962384864,NA
ENSMUSG00000025979,2981.17802,-0.140892031,0.052801704,-2.668323583,0.00762308,0.027789111
